drama,review
(아는 건 별로 없지만) 가족입니다,흔하디 흔한 자극적 전개가 아닐까싶었지만 볼수록 오묘하고 생각하게 만드는 이야기들이 흥미롭다
(아는 건 별로 없지만) 가족입니다,가족은 같이 살아온 세월이다.
18 어게인,눈물이 났다 왠지 모르게…
18 어게인,"기분 좋아지는 휴먼 판타지 이도현의 발견, 찐 농구 장면 인정~"
가면,메이 보려고 봣어요
간택 - 여인들의 전쟁,이런거 환장하는 나는 너무 재밌다
간택 - 여인들의 전쟁,사극?
개와 늑대의 시간,이건 진짜 최고야 아너무재밌어
개와 늑대의 시간,재미있어요.
갯마을 차차차,자극적이지.않아 좋다
갯마을 차차차,"두 사람 미소만으로 청량한 바닷 바람 맞는 기분, 캐스팅 조합 미쳐따"
갯마을 차차차,청량한 바람이 불어오는듯 보는 내내 따스했다
갯마을 차차차,잔잔하니 좋았다
거침없이 하이킥,지금 봐도 재밌다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
거침없이 하이킥,또보고싶다
거침없이 하이킥,"아직도 재밌다, 미친거지"
거침없이 하이킥,나한테는 이게 전원일기라고
검법남녀 2,흥미진진
겨울연가,그 시절엔 좋았다
겨울연가,맞는색깔을 입었을때
경우의 수,돌고 돌고 또 돌고.
경우의 수,확률이 낮아
경우의 수,초반부는 그래도 좋았다
계룡선녀전,옳지 착하다
계룡선녀전,"사랑스러운 작화, 사랑스러운 시선."
계룡선녀전,뭉글뭉글해
계룡선녀전,헐이거재밌았던듯!!!!
계룡선녀전,귀엽고 따뜻해 사랑스럽고 감동적이야
고교처세왕,이거 진짜 재밌는데 볼사람
고교처세왕,"그냥 웃기고 재밌고,, 웃으면서 편하게 스트레스 풀려서 본 기억"
고교처세왕,"이렇게 말이 안 되는데 재밌다니,,,"
고교처세왕,이👏🏻하👏🏻나👏🏻
공작도시,마인이랑 비슷한 느낌
공항 가는 길,서로에게 위안이 되어준 두 사람. 이 가을 그들을 보며 나도 위로 받았다.
구경이,새로워!!! 짜릿해!!!
구미호뎐,"그래, 내겐 한국 설화가 필요했어!"
구미호뎐,♥︎
