mediatitle,place_name,address,positive_ratio,latitude,longitude
(아는 건 별로 없지만) 가족입니다,고흥우주발사전망대,전라남도 고흥군 영남면 해맞이로 840,0.5833333333333334,34.585051,127.49236
(아는 건 별로 없지만) 가족입니다,파도리해수욕장,충청남도 태안군 소원면 파도길 63-12,0.6,36.738979,126.13356
가면,담양 관방제림,전라남도 담양군 담양읍 객사7길 37,1.0,35.3234778,126.991321
가면,죽녹원,전라남도 담양군 담양읍 죽녹원로 119,1.0,35.326613,126.985409
가면,메타세쿼이아 가로수길,전라남도 담양군 담양읍 학동리 633,0.8823529411764706,35.3251724,127.009247
간택 - 여인들의 전쟁,광한루원,전라북도 남원시 요천로 1447,1.0,35.403918,127.379758
개와 늑대의 시간,스플라스 리솜,충청남도 예산군 덕산면 온천단지3로 45-7,0.8571428571428571,36.693924,126.65602
갯마을 차차차,사방기념공원,경상북도 포항시 북구 흥해읍 해안로 1801,0.9230769230769232,36.1646885,129.3956102
거침없이 하이킥,해비치호텔앤드리조트,제주특별자치도 서귀포시 표선면 민속해안로 537,0.7333333333333333,33.3235675,126.844477
검법남녀 2,부용대,경상북도 안동시 풍천면 광덕솔밭길 72,0.8333333333333334,36.542914,128.51663
겨울연가,남이섬,강원도 춘천시 남산면 남이섬길 1,0.6666666666666666,37.789935,127.52581
겨울연가,외도 보타니아,경상남도 거제시 일운면 외도길 17,0.5,34.769699,128.70886
경우의 수,달책빵,제주특별자치도 제주시 구좌읍 대수길 10-12,0.7894736842105263,33.536409,126.83943
경우의 수,임진고택,제주특별자치도 제주시 구좌읍 상도로 16-13,1.0,33.513302,126.8635
경우의 수,소심한책방,제주특별자치도 제주시 구좌읍 종달동길 29-6,0.8235294117647058,33.491445,126.90309
경우의 수,용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산 38,0.9375,33.458681,126.83005
경우의 수,술의 식물원,제주특별자치도 제주시 구좌읍 중산간동로 2253,0.6,33.471779,126.78376
경우의 수,책방소리소문,제주특별자치도 제주시 한경면 저지동길 8-31,0.875,33.358009,126.27169
경우의 수,서쪽가게,제주특별자치도 제주시 한림읍 한림로 372-7,0.7058823529411765,33.393359,126.24059
계룡선녀전,밀양역,경상남도 밀양시 중앙로 62,0.4545454545454545,35.47456,128.771186
계룡선녀전,부석사,경상북도 영주시 부석면 부석사로 345,0.7777777777777778,36.998776,128.68753
계룡선녀전,목포역,전라남도 목포시 영산로 98,0.6153846153846154,34.791049,126.38661
계룡선녀전,신원사,충청남도 공주시 계룡면 신원사동길 1,0.8888888888888888,36.335189,127.18399
계룡선녀전,부소산성,충청남도 부여군 부여읍 부소로 15,0.8461538461538461,36.287052,126.91527
겨울연가,남이섬,강원도 춘천시 남산면 남이섬길 1,0.6666666666666666,37.789935,127.52581
공작도시,뮤지엄 산,강원도 원주시 지정면 오크밸리2길 260,0.7647058823529411,37.418903,127.82302
구경이,소금산 출렁다리,강원도 원주시 지정면 소금산길 12,0.8333333333333334,37.368213,127.824977
구경이,동피랑 벽화마을,경상남도 통영시 동피랑1길 6-18,0.7692307692307693,34.845641,128.427523
구미호뎐,상족암군립공원,경상남도 고성군 하이면 덕명리 50-1,1.0,34.904154,128.15034
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
궁,동궁과 월지,경상북도 경주시 원화로 102,0.9333333333333332,35.83429,129.226584
궁,경기전,전라북도 전주시 완산구 태조로 44,0.9444444444444444,35.815488,127.149771
궁,씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 196,0.6470588235294118,33.243147,126.42002
그 해 우리는,온빛자연휴양림,충청남도 논산시 벌곡면 황룡재로 480-113,1.0,36.2029503,127.2520346
그냥 사랑하는 사이,임권택영화박물관,부산광역시 해운대구 우동 센텀중앙로 55,1.0,35.173219,129.12853
