RNUM,MEDIATITLE,PLACENAME,ADDRESS
1,"(아는 건 별로 없지만) 가족입니다",커피파머,"경기도 고양시 일산서구 대화로 61"
2,"(아는 건 별로 없지만) 가족입니다","셀렉토커피 남양주호평점","경기도 남양주시 천마산로 21"
3,"(아는 건 별로 없지만) 가족입니다","카페 그루비","경기도 수원시 영통구 센트럴파크로127번길 148"
4,"(아는 건 별로 없지만) 가족입니다","미리내 성지","경기도 안성시 양성면 미리내성지로 420"
5,"(아는 건 별로 없지만) 가족입니다",초은당,"경기도 양평군 서종면 북한강로814번길 46-6"
6,"(아는 건 별로 없지만) 가족입니다",임진각평화누리,"경기도 파주시 문산읍 마정리 1355"
7,"(아는 건 별로 없지만) 가족입니다","지혜의 숲","경기도 파주시 회동길 145"
8,"(아는 건 별로 없지만) 가족입니다","카페 종이와 나무","경기도 파주시 회동길 445-1"
9,"(아는 건 별로 없지만) 가족입니다","퀸즈파크 청담점","서울특별시 강남구 압구정로60길 22"
10,"(아는 건 별로 없지만) 가족입니다",혜심정,"서울특별시 강북구 삼양로181길 178"
11,"(아는 건 별로 없지만) 가족입니다",가든포에트,"서울특별시 마포구 와우산로14길 12"
12,"(아는 건 별로 없지만) 가족입니다",구룡근린공원,"서울특별시 마포구 월드컵북로 456"
13,"(아는 건 별로 없지만) 가족입니다",월드컵공원,"서울특별시 마포구 하늘공원로 86"
14,"(아는 건 별로 없지만) 가족입니다","소월로 계단 3번","서울특별시 용산구 소월로 168"
15,"(아는 건 별로 없지만) 가족입니다",대학로11길,"서울특별시 종로구 대학로11길 13"
16,"(아는 건 별로 없지만) 가족입니다","커피한약방 혜화점","서울특별시 종로구 동숭2길 9"
17,"(아는 건 별로 없지만) 가족입니다",포시즌스호텔,"서울특별시 종로구 새문안로 97"
18,"(아는 건 별로 없지만) 가족입니다",푸른기린주차장,"서울특별시 종로구 화동 58-1"
19,"(아는 건 별로 없지만) 가족입니다","이비스 스타일 앰배서더 명동","서울특별시 중구 삼일대로 302"
20,"(아는 건 별로 없지만) 가족입니다","덕수궁 돌담길","서울특별시 중구 세종대로 99"
21,"(아는 건 별로 없지만) 가족입니다",목남갤러리카페,"서울특별시 중구 퇴계로68길 16"
22,"(아는 건 별로 없지만) 가족입니다","그랜드 하얏트 인천","인천광역시 중구 영종해안남로321번길 208"
23,"(아는 건 별로 없지만) 가족입니다",고흥우주발사전망대,"전라남도 고흥군 영남면 해맞이로 840"
24,"(아는 건 별로 없지만) 가족입니다",파도리해수욕장,"충청남도 태안군 소원면 파도길 63-12"
25,"#좋맛탱: 좋은 맛에 취하다","카우카우펍 합정점","서울특별시 마포구 독막로 10"
26,"#좋맛탱: 좋은 맛에 취하다","데코아발림 본점","서울특별시 마포구 독막로15길 13-6"
27,"#좋맛탱: 좋은 맛에 취하다","정항우케익 서울연남점","서울특별시 마포구 동교로29길 48"
28,"#좋맛탱: 좋은 맛에 취하다",공간비틀즈,"서울특별시 마포구 와우산로29길 27 B1"
29,"#좋맛탱: 좋은 맛에 취하다",율곡로3길,"서울특별시 종로구 율곡로3길"
30,"1%의 어떤것",사천진해수욕장,"강원도 강릉시 사천면 사천진리 266-2"
31,"1%의 어떤것",보헤미안박이추커피,"강원도 강릉시 사천면 해안로 1107"
32,"1%의 어떤것","인터컨티넨탈 알펜시아 평창 리조트","강원도 평창군 대관령면 솔봉로 325"
33,"1%의 어떤것",라꼼마빌딩,"서울특별시 마포구 어울마당로 44-1"
34,"17세의 조건",서울역,"서울특별시 용산구 한강대로 405"
35,"18 어게인",소토보체,"강원도 홍천군 화촌면 군업안말길 153-15"
36,"18 어게인","오페라 디바스","경기도 고양시 덕양구 행주산성로 141"
37,"18 어게인",서울대공원,"경기도 과천시 대공원광장로 102"
38,"18 어게인","모로미쿠시 광교카페거리점","경기도 수원시 영통구 센트럴파크로127번길 48"
39,"18 어게인",파머스테이블,"경기도 파주시 탄현면 헤이리마을길 59-77"
40,"18 어게인",화이트블럭,"경기도 파주시 탄현면 헤이리마을길 72"
41,"18 어게인",퍼스트가든,"경기도 파주시 탑삭골길 260"
42,"18 어게인",엘빈에비뉴라운지,"서울특별시 강남구 강남대로92길 13"
43,"18 어게인","태그호이어 청담점","서울특별시 강남구 선릉로 828"
44,"18 어게인",C156,"서울특별시 광진구 동일로 156"
45,"18 어게인",벌스가든,"서울특별시 마포구 성미산로23길 44"
46,"18 어게인",성미산로29길,"서울특별시 마포구 성미산로29길 3"
47,"18 어게인",누리꿈스퀘어빌딩,"서울특별시 마포구 연남동 396"
