RNUM,MEDIATITLE,PLACENAME,ADDRESS
23,(아는 건 별로 없지만) 가족입니다,고흥우주발사전망대,전라남도 고흥군 영남면 해맞이로 840
24,(아는 건 별로 없지만) 가족입니다,파도리해수욕장,충청남도 태안군 소원면 파도길 63-12
30,1%의 어떤것,사천진해수욕장,강원도 강릉시 사천면 사천진리 266-2
31,1%의 어떤것,보헤미안박이추커피,강원도 강릉시 사천면 해안로 1107
32,1%의 어떤것,인터컨티넨탈 알펜시아 평창 리조트,강원도 평창군 대관령면 솔봉로 325
35,18 어게인,소토보체,강원도 홍천군 화촌면 군업안말길 153-15
447,365: 운명을 거스르는 1년,모나무르 복합문화공간 아산,충청남도 아산시 순천향로 624
738,가면,담양 관방제림,전라남도 담양군 담양읍 객사7길 37
739,가면,죽녹원,전라남도 담양군 담양읍 죽녹원로 119
740,가면,메타세쿼이아 가로수길,전라남도 담양군 담양읍 학동리 633
741,가면,제이딘주얼리,전라북도 전주시 완산구 전라감영4길 19
811,간택 - 여인들의 전쟁,광한루원,전라북도 남원시 요천로 1447
851,개와 늑대의 시간,스플라스 리솜,충청남도 예산군 덕산면 온천단지3로 45-7
866,갯마을 차차차,석병1리방파제,경상북도 포항시 남구 구룡포읍 석병리 745-2
867,갯마을 차차차,청하5일장,경상북도 포항시 북구 청하면 청하로200번길 6
868,갯마을 차차차,사방기념공원,경상북도 포항시 북구 흥해읍 해안로 1801
874,거침없이 하이킥,해비치호텔앤드리조트,제주특별자치도 서귀포시 표선면 민속해안로 537
925,검법남녀 2,가톨릭관동대학교,강원도 강릉시 범일로579번길 24
931,검법남녀 2,부용대,경상북도 안동시 풍천면 광덕솔밭길 72
1008,겨울연가,추암해수욕장,강원도 동해시 촛대바위길 2
1009,겨울연가,춘천 기와집골 마을,강원도 춘천시 기와집길31번길 2
1010,겨울연가,남이섬,강원도 춘천시 남산면 남이섬길 1
1011,겨울연가,외도 보타니아,경상남도 거제시 일운면 외도길 17
1024,경우의 수,헌화로드라이브코스,강원도 강릉시 강동면 심곡리 헌화로
1070,경우의 수,달책빵,제주특별자치도 제주시 구좌읍 대수길 10-12
